Position,Location,Gender,Education,Experience (Years),Salary
GCP Devops,Noida,Female,B.Sc,16,1457.528
GCP Devops,Chennai,Male,BCA,16,626.96
GCP Devops,New Delhi,Female,B.Tech/B.E.,27,2036.814
Research analyst,Kaithal,Male,B.Tech/B.E.,6,1926.416
GCP Devops,Bengaluru,Male,B.Tech/B.E.,15,2355.478
GCP Devops,New Delhi,Female,B.Sc,5,574.388
GCP Data Engineer,Hyderabad,Female,B.Tech/B.E.,26,1954.801
Reasearch Analyst,New Delhi,Male,B.Com,12,1143.359
GCP Data Engineer,Mumbai Suburban,Male,BCA,15,505.734
GCP Data Engineer,Hyderabad,Female,B.Sc,19,1853.761
GCP Data Engineer,New Delhi,Female,B.Sc,12,704.779
Data Science,Kolkata,Female,B.Tech/B.E.,5,2032.89
GCP Devops,Bengaluru,Male,B.Tech/B.E.,16,1309.757
GCP Data Engineer,Noida,Female,B.Com,21,2150.202
Data Science,Noida,Female,B.Tech/B.E.,26,2358.2
Research Analyst,Coimbatore,Male,BCA,24,1327.406
pythomn ML,Mumbai,Female,B.Tech/B.E.,25,1186.3
C+ Linux,Gurugram,Male,B.A,28,854.64
Data Science,Ghaziabad,Male,Diploma,19,1816.538
GCP Data Engineer,Bhatkal,Female,B.Tech/B.E.,15,1372.775
Research Analyst,Noida,Male,B.Com,10,1371.468
Python Backend Developer,Chennai,Male,B.Com,16,763.717
GCP Data Engineer,Noida,Female,B.A,13,1456.811
C+ Linux,Pune,Female,B.Com,22,667.144
GCP Data Engineer,Prayagraj,Male,B.A,26,1804.057
Data Science,Bengaluru,Female,B.Tech/B.E.,15,830.652
GCP Devops,Gurugram,Female,B.Com,5,2148.51
Research Anlyst,New Delhi,Female,B.Tech/B.E.,6,2305.939
Performance testing,Gurugram,Male,B.Tech/B.E.,10,709.225
Performance testing,Hyderabad,Male,B.Sc,22,2065.043
Performance testing,Pune,Male,B.Tech/B.E.,17,2120.55
Performance testing,New Delhi,Male,Diploma,6,1384.267
Performance testing,Noida,Male,BCA,9,872.552
Mainframe Nasco,Not Mentioned,Male,B.Tech/B.E.,9,738.389
Mainframe Nasco,Kochi,Female,B.Tech/B.E.,18,1147.655
Data Science,Chandigarh,Female,B.Tech/B.E.,22,1736.986
Python ML,Chennai,Male,B.Com,23,2491.786
GCP Devops,Noida,Female,B.A,28,678.678
UI Angular,Gurugram,Male,B.Com,18,727.212
UI Angular,Amritsar,Male,B.Com,5,1236.341
Python ML,Jalgaon,Male,B.B.A/ B.M.S,14,2442.763
GCP Devops,Kolhapur,Male,B.A,18,2169.736
Data Science,Bilaspur,Male,BCA,20,2365.189
UI Angular,Noida,Female,B.A,24,1298.953
UI Angular,Thiruvananthapuram,Male,B.Tech/B.E.,23,1239.202
UI Angular,Gurugram,Male,B.Tech/B.E.,8,1110.221
Database Engineer,New Delhi,Male,B.A,8,701.962
UI Angular,New Delhi,Female,B.B.A/ B.M.S,23,1142.189
Database Engineer,Mumbai,Male,Diploma,24,1826.133
Performance testing,Gurugram,Male,B.Tech/B.E.,17,2203.201
Performance testing,Pune,Female,B.Tech/B.E.,25,2310.319
Mainframe Nasco,Hyderabad,Male,B.Tech/B.E.,17,668.385
"Mainframe Developer with NASCO Claims Processing
",New Delhi,Male,B.Tech/B.E.,18,613.641
Mainframe Nasco,Gurugram,Male,B.A,17,2180.971
Python Fullstack Developer,Pune,Female,B.Tech/B.E.,24,1737.119
Python Fullstack Developer,Bengaluru,Male,B.Tech/B.E.,11,1232.195
UI with REACT,Hyderabad,Female,B.Com,8,1781.296
UI Angular,Bengaluru,Male,B.Sc,27,2245.346
UI Angular,New Delhi,Male,Diploma,6,2427.072
mean/mern,Gurugram,Male,B.Com,19,600.549
mean/mern,Pune,Female,B.Sc,18,1422.711
Collibra,Mumbai,Female,Diploma,7,2236.18
GCP Devops,Hyderabad,Male,B.Tech/B.E.,21,1173.29
mean/mern,Ramnagar,Male,B.Tech/B.E.,8,2023.77
Meanstack Developer,Gurugram,Female,B.Tech/B.E.,22,2322.629
Meanstack Developer,Ghaziabad,Female,B.A,10,1630.157
Meanstack Developer,New Delhi,Male,B.Sc,12,747.373
Meanstack Developer,Noida,Female,B.Tech/B.E.,19,2484.355
GCP Admin,Jalandhar,Male,B.Tech/B.E.,10,1636.684
Application/ Product,Meerut,Female,Diploma,26,1591.784
mean/mern,Padampur,Female,B.Tech/B.E.,11,2141.833
Python Fullstack Developer,New Delhi,Male,B.Tech/B.E.,17,988.136
UI Develo[er,Pune,Male,B.A,20,2258.266
Application/ Product,Kannur,Male,BCA,21,704.688
UI Develo[er,Gurugram,Male,B.Com,27,2274.377
UI with REACT,Pune,Male,B.B.A/ B.M.S,15,1669.52
Application/ Product,Hubli,Female,B.Tech/B.E.,7,740.469
UI React,Kolkata,Male,B.Com,27,1421.359
UI Angular,New Delhi,Male,B.Tech/B.E.,14,922.758
mean/mern,Gurugram,Male,B.A,23,2378.417
UI Angular,Prayagraj,Male,B.Sc,21,1991.761
Application/ Product,Ghaziabad,Male,B.Tech/B.E.,27,2007.229
Verilog,Ranchi,Male,B.Sc,7,868.103
Application/ Product,Bengaluru,Female,B.Com,18,2414.688
Cuda Developer,Warangal,Male,B.Sc,19,1607.796
Cuda Developer,Hyderabad,Female,B.Tech/B.E.,27,1697.256
Cuda Developer,Gurugram,Male,B.Tech/B.E.,28,985.874
Cuda Developer,Bengaluru,Male,B.Tech/B.E.,26,2218.918
Cuda Developer,Noida,Female,B.Sc,19,929.992
Application/ Product,Gurugram,Female,B.Tech/B.E.,24,602.856
Application/ Product,Faridabad,Male,B.A,19,783.498
Cuda Developer,Guwahati,Female,B.Tech/B.E.,25,580.459
Python Fullstack Developer,Bengaluru,Male,BCA,6,703.991
Python Fullstack Developer,Diva - Maharashtra,Female,B.A,18,819.415
Python Fullstack Developer,Gurugram,Female,B.Com,8,1179.445
research analyst,New Delhi,Male,B.Com,28,1755.703
Bigdata Developer,Kolkata,Male,BCA,18,2257.224
UI Angular,Visakhapatnam,Male,B.Tech/B.E.,12,1850.281
Maths Teacher,Kolkata,Male,B.Tech/B.E.,19,2097.404
Maths Teacher,New Delhi,Female,B.Tech/B.E.,5,1810.946
Verilog,Noida,Female,B.Tech/B.E.,26,1540.574
Bigdata Developer,New Delhi,Male,B.Tech/B.E.,10,2060.337
Selenium/Python,Kolkata,Male,B.A,16,1095.363
Cuda Developer,Pune,Female,B.Tech/B.E.,6,1247.116
Cuda Developer,Kolkata,Male,B.Tech/B.E.,23,1426.622
Cuda Developer,New Delhi,Female,B.Tech/B.E.,28,781.903
Cuda Developer,New Delhi,Male,B.Tech/B.E.,27,835.018
Cuda Developer,New Delhi,Female,B.Tech/B.E.,11,1869.075
UI with React,New Delhi,Female,BCA,20,1508.54
Cuda Developer,Pune,Female,B.Sc,14,2122.242
Bigdata Developer,Noida,Male,B.Sc,25,1298.569
Cuda Developer,Kolkata,Female,B.Tech/B.E.,9,1316.965
Integration Developer,Jaipur,Female,B.Tech/B.E.,7,2427.016
Cuda Developer,Kolkata,Female,B.Sc,18,1183.588
Maths Teacher,Indore,Female,B.Com,26,1070.71
Verilog,Bengaluru,Female,B.Tech/B.E.,15,1472.969
Cuda Developer,Hyderabad,Male,B.Tech/B.E.,12,795.101
Eclipse Architect,Mumbai,Female,B.A,17,1543.171
Verilog,Noida,Female,B.Tech/B.E.,17,1743.297
Cuda Developer,Bilaspur,Male,B.Tech/B.E.,25,2389.5
Mean Stack,New Delhi,Male,B.Tech/B.E.,11,2122.108
C+ Linux,Pune,Female,B.Tech/B.E.,6,2164.786
C+ Linux,New Delhi,Male,B.A,27,650.175
Cuda Developer,Noida,Male,B.Tech/B.E.,21,1038.412
Python Fullstack Developer,Pune,Male,B.A,5,1473.366
Mean Stack,Hyderabad,Male,BCA,11,1675.495
Cuda Developer,"Mumbai, Maharashtra, pune - Maharashtra",Male,B.Com,11,1162.847
Verilog,Kolkata,Male,B.Tech/B.E.,15,1296.813
Mean Stack,Navi Mumbai,Male,B.Sc,19,2438.974
Python Fullstack Developer,New Delhi,Male,B.Tech/B.E.,27,2126.371
UI with React,Guwahati,Male,B.A,18,1109.204
BMC Control Admin,Bengaluru,Male,B.Tech/B.E.,15,1204.874
Cuda Developer,Bengaluru,Male,B.Tech/B.E.,7,1019.899
BMC Control Admin,Chennai,Male,B.Com,23,1302.01
BMC Control Admin,New Delhi,Male,B.Sc,16,2499.925
Cuda Developer,Bengaluru,Male,B.Com,8,1566.04
UI with React,Gurugram,Male,B.Tech/B.E.,8,1156.575
BMC Control Admin,New Delhi,Female,BCA,7,760.467
pythomn ML,Kolkata,Male,B.Sc,28,1373.529
Verilog,Pune,Male,BCA,5,1884.378
BMC Control Admin,New Delhi,Male,B.Sc,27,1381.524
Cuda Developer,New Delhi,Female,B.Tech/B.E.,12,554.922
Cuda Developer,New Delhi,Male,B.Sc,26,1870.077
Power BI,Nagpur,Female,B.Tech/B.E.,19,993.641
Cuda Developer,Noida,Female,BCA,6,560.365
Cuda Developer,Mumbai,Female,BCA,11,645.752
Mean Stack,Tiruchirapalli,Female,B.Sc,5,1001.836
C+ Linux,Mumbai,Male,B.Tech/B.E.,18,1072.399
Bigdata Developer,New Delhi,Male,B.Tech/B.E.,28,1769.377
Application/ Product,Pune,Female,Diploma,17,1822.814
Verilog,Bengaluru,Male,B.A,23,2034.637
Verilog,Pune,Female,B.Sc,23,1827.13
Verilog,Noida,Male,B.Sc,23,752.594
Verilog,Bengaluru,Female,B.Sc,9,2373.165
Verilog,Noida,Male,BCA,24,1407.224
Bigdata Developer,Dindigul,Male,B.B.A/ B.M.S,21,1784.093
Verilog,"Mumbai, Maharashtra - Maharashtra",Male,B.Tech/B.E.,18,2353.107
ui angular,Siliguri,Male,BCA,19,2062.011
Bigdata Developer,Kolkata,Female,B.Sc,12,902.694
Python Fullstack Developer,Hyderabad,Male,Diploma,27,1544.659
full stack +ui developer,Bengaluru,Female,BCA,11,1014.784
Verilog,Mumbai,Male,B.Tech/B.E.,18,1129.347
Cuda Developer,New Delhi,Male,B.A,21,2220.269
Snowflake Admin,New Delhi,Male,B.Tech/B.E.,6,934.387
Application/ Product,New Delhi,Female,B.Tech/B.E.,23,2258.914
Data Engineer,Noida,Male,B.Tech/B.E.,26,2141.194
Verilog developer,Hyderabad,Female,B.Tech/B.E.,5,1354.532
Cuda Developer,Gurugram,Male,B.Tech/B.E.,13,2122.226
Verilog,"Noida, Delhi - Uttar Pradesh",Female,B.Tech/B.E.,19,1793.415
Python Fullstack Developer,Bengaluru,Male,B.Tech/B.E.,6,1797.497
Cuda Developer,Pune,Male,B.Tech/B.E.,18,1208.063
Python Fullstack Developer,Mumbai,Male,B.Sc,22,1094.765
Cuda Developer,Bengaluru,Male,B.Sc,8,1788.461
PGT Chemistry,Noida,Male,B.Sc,12,2215.609
Maths Teacher,Noida,Female,B.A,5,1548.834
ui angular,Noida,Male,B.Com,10,1823.263
Cuda Developer,Pune,Male,B.Com,5,1201.625
Python Fullstack Developer,Noida,Female,B.Com,23,1098.992
Software Engineer,New Delhi,Male,B.Sc,11,752.555
Verilog developer,Navi Mumbai and pune - Maharashtra,Female,B.Com,6,2098.457
ui angular,Bengaluru,Male,B.Tech/B.E.,23,940.684
Cuda Developer,Lucknow,Male,B.Tech/B.E.,17,637.283
ui angular,Ahmedabad,Male,B.Tech/B.E.,14,1627.705
BMC Control-M version,Noida,Female,B.Com,27,1102.242
Cuda Developer,Bengaluru,Female,B.B.A/ B.M.S,13,1346.813
C+ Linux,New Delhi,Male,B.Sc,9,1091.048
C+ Linux,Chennai,Female,B.Tech/B.E.,7,2429.383
C+ Linux,Jamshedpur,Male,Diploma,24,1999.534
C+ Linux,Pune,Female,B.B.A/ B.M.S,9,1034.521
ui/ angular,"New Delhi, Delhi, NOIDA, Pune - Delhi",Male,BCA,16,2115.798
Python Fullstack Developer,New Delhi,Male,B.Sc,16,1998.779
UI Angular,Bengaluru,Male,B.Tech/B.E.,16,2288.672
Python Fullstack Developer,Bengaluru,Male,B.Com,28,1315.976
UI with React,Chennai,Female,B.Tech/B.E.,23,1607.73
UI Angular,Pune,Female,B.Com,28,2184.614
Maths Teacher,Chennai,Male,B.A,27,697.753
Verilog developer,Noida,Female,B.Tech/B.E.,17,1278.804
Verilog,Mumbai,Male,B.Sc,17,2128.521
BMC Control Admin,New Delhi,Female,B.Tech/B.E.,14,1481.549
UI REACT,Visakhapatnam,Male,B.Sc,14,1893.798
UI REACT,Mohali,Female,B.Com,14,1896.411
Maths Teacher,Bengaluru,Male,B.Com,26,1023.539
Cuda Developer,Bengaluru,Female,B.Tech/B.E.,27,2404.804
UI REACT,Kanpur,Female,B.Sc,21,2216.277
BMC Control,Bengaluru,Female,B.Tech/B.E.,14,1405.146
Data Engineer,Gurugram,Male,B.Sc,22,1257.637
Data Engineer,Lucknow,Female,BCA,14,1979.079
Data Engineer,Gurugram,Male,B.Sc,20,2438.441
UI with React,Nagpur,Male,B.Tech/B.E.,28,1403.607
Cuda Developer,Bengaluru,Female,B.Tech/B.E.,9,798.29
Cuda Developer,Pune,Male,B.Com,25,537.346
BMC Control,New Delhi,Male,B.Com,20,823.986
Selenium Python,New Delhi,Male,BCA,27,1891.649
Cuda Developer,Mumbai,Female,B.A,24,815.067
Cuda Developer,Noida,Male,B.A,13,1481.526
UI with React,Noida,Male,BCA,20,1921.927
Cuda Developer,Patna,Male,B.Com,24,2168.0
Data Engineer,Bengaluru,Male,B.Sc,25,2197.709
Selenium Python,Kurnool,Female,B.Com,28,2203.084
UI with React,work from home banglore - Karnataka,Female,Diploma,17,597.329
Cuda Developer,Hyderabad,Female,B.Com,20,2190.353
Data Engineer,Noida,Male,B.Com,27,2077.089
Data Engineer,Noida,Female,B.Sc,13,1235.787
Data Engineer,Noida,Female,B.Com,7,521.811
AWS Solution Architect|AWS Data Architect,New Delhi,Female,BCA,6,1529.693
UI with React,Dehli - Delhi,Male,B.Tech/B.E.,5,1109.964
Lead Data Engineer,Hyderabad,Male,B.Tech/B.E.,8,1831.398
Selenium Python,Noida,Male,B.Tech/B.E.,28,1379.365
NPD Design-Chassis,Dhanbad,Male,B.Com,19,1885.031
Data Engineer,New Delhi,Female,B.Tech/B.E.,11,906.157
Data Engineer,New Delhi,Female,B.Tech/B.E.,28,821.436
Selenium Python,Bengaluru,Male,B.Tech/B.E.,18,1827.924
Selenium Python,Pune,Male,B.A,17,1224.153
Cuda Developer,New Delhi,Male,BCA,8,1362.788
UI with React,Bengaluru,Male,B.Tech/B.E.,16,1375.368
Cuda Developer,Ghaziabad,Male,B.Tech/B.E.,21,867.277
MernmStack,Faridabad,Male,B.Com,11,891.388
MernmStack,New Delhi,Male,B.Tech/B.E.,8,2340.772
MernmStack,Hyderabad,Male,B.A,27,1850.076
MernmStack,New Delhi,Male,B.Sc,5,943.513
UI with React,Noida,Female,BCA,16,1733.456
MernmStack,Chennai,Female,Diploma,14,1453.094
MernmStack,New Delhi,Male,B.Tech/B.E.,9,1136.614
UI with React,New Delhi,Female,B.Sc,7,2341.375
Data Engineer,Hyderabad,Male,BCA,14,933.889
Data Engineer,Bengaluru,Male,BCA,7,1223.417
Selenium Python,Lucknow,Female,B.Tech/B.E.,15,696.41
UI with React,New Delhi,Female,B.Tech/B.E.,20,918.018
Selenium Python,Gurugram,Female,B.Com,24,916.282
Data Engineer,Pune,Male,Diploma,23,1505.482
NPD Design-Chassis,Paonta Sahib,Male,B.Tech/B.E.,15,2386.905
UI with React,Gurugram,Male,B.Tech/B.E.,7,1474.606
NPD Design-Chassis,Pune,Male,B.B.A/ B.M.S,22,1302.308
UI with React,Hyderabad,Female,B.Sc,7,1666.206
Selenium Python,Hyderabad,Female,B.A,21,2247.91
Data Engineer,Noida,Female,B.Tech/B.E.,11,1166.987
Selenium Python,Bengaluru,Male,BCA,13,1138.559
C+ Linux,Bengaluru,Female,B.Com,7,1474.563
Selenium Python,Bengaluru,Male,B.Com,13,1277.777
Data Engineer,Kolkata,Male,B.Sc,14,2010.59
Cuda Developer,Noida,Male,B.A,22,1884.613
C+ Linux,London - United Kingdom (UK),Male,B.Com,13,1751.025
C+ Linux,Pune,Male,B.Tech/B.E.,7,671.524
Cuda Developer,New Delhi,Male,B.Tech/B.E.,28,2450.581
BMC Control,Bengaluru,Male,B.A,20,2286.233
Cuda Developer,Bahadurgarh,Male,BCA,16,940.19
Cuda Developer,Pune,Female,BCA,24,617.95
BMC Control,Srinagar,Male,B.Tech/B.E.,27,1881.642
BMC Control,"Pune, kolhapur - Maharashtra",Female,BCA,5,2015.915
BMC Control,Chennai,Male,B.Sc,23,546.275
BMC Control,New Delhi,Female,B.Tech/B.E.,26,1508.153
Cuda Developer,New Delhi,Male,B.Tech/B.E.,9,1183.659
Cuda Developer,Ghaziabad,Female,B.Sc,10,1013.733
Cuda Developer,Lucknow,Male,B.Com,16,1422.261
Maths Teacher,Jaipur,Female,B.Tech/B.E.,28,926.91
Salesfoce Developer,Noida,Female,B.Tech/B.E.,18,2398.225
Maths Teacher,New Delhi,Male,BCA,13,2404.171
Maths Teacher,Hyderabad,Male,B.Tech/B.E.,17,1342.521
Maths Teacher,Pune,Male,B.B.A/ B.M.S,13,2195.674
Maths Teacher,New Delhi,Male,B.A,25,2271.38
Maths Teacher,Rajahmundry,Male,B.A,24,1080.471
Cuda Developer,New Delhi,Female,B.Sc,19,2315.334
Maths Teacher,New Delhi,Female,B.Com,8,1653.673
Salesfoce Developer,Pune,Male,B.Tech/B.E.,24,815.281
Salesfoce Developer,New Delhi,Male,Diploma,5,1166.141
Salesfoce Developer,Uttar Pradesh - Uttar Pradesh,Male,B.A,6,2445.149
Salesfoce Developer,Bhopal,Male,B.A,5,2216.445
Salesfoce Developer,Varanasi,Female,B.Tech/B.E.,22,1315.772
Basic/Advance Maths Teacher,Bengaluru,Male,BCA,17,1085.358
AML Triage Analyst,Hyderabad,Male,B.Tech/B.E.,10,585.0
Salesforce,Bengaluru,Female,B.A,14,1786.413
Python Backend Developer,Mumbai,Male,B.Tech/B.E.,21,1061.202
Python Backend Developer,MEERUT - United States (USA),Male,B.Tech/B.E.,26,2082.985
Mernstack,New Delhi,Female,B.Tech/B.E.,8,1647.286
ELK Engineer,Pune,Male,B.Tech/B.E.,11,1719.858
Python Machine learning+ NLP,Kota,Male,B.Tech/B.E.,6,1733.824
Python Machine learning+ NLP,Noida,Female,B.Tech/B.E.,10,2117.708
UI with React,Kashipur,Male,B.Com,5,1310.221
Python Backend Developer,Bengaluru,Female,B.Tech/B.E.,25,895.187
Python Machine learning+ NLP,Noida,Female,B.Com,7,1132.818
Python Machine learning+ NLP,Noida,Female,B.Sc,6,606.108
Python Machine learning+ NLP,Sathyamangalam,Female,B.Sc,5,1658.552
Python Machine learning+ NLP,Pune,Male,BCA,20,1411.936
Verilog,Ranchi - Madhya Pradesh,Male,B.Tech/B.E.,11,1334.018
Verilog,Coimbatore,Female,B.Sc,11,949.721
Linux/CI/CD/Jenkin/AWS/Devops,New Delhi,Male,B.Tech/B.E.,21,1998.461
UI Angular,Bengaluru,Female,B.Tech/B.E.,17,2328.845
Java Developer,Chandigarh,Female,BCA,6,1487.581
Python,Noida,Male,B.A,18,1177.11
AWS/Devops,Mumbai,Male,B.B.A/ B.M.S,7,2114.455
Linux(UNuntu)/AWS,Bengaluru,Female,B.Tech/B.E.,24,1886.971
Salesforce Developer,Hyderabad,Male,B.A,27,507.571
Python Backend Developer,Kolkata,Male,B.Tech/B.E.,25,1326.933
UI with React,Bengaluru,Female,B.A,18,1076.477
Verilog,Gurugram,Male,Diploma,28,1302.735
Verilog,New Delhi,Female,B.Com,8,684.58
Verilog,New Delhi,Female,B.Tech/B.E.,11,1160.677
UI with React,Kolkata,Female,BCA,18,726.507
Python Fullstack,Noida,Male,B.Tech/B.E.,8,1420.083
React Native,Durgapur,Male,B.Tech/B.E.,25,1910.447
Python Fullstack,New Delhi,Male,B.Tech/B.E.,28,1460.111
React Native,Pune,Female,B.Sc,12,1139.481
Cyber Security,New Delhi,Male,B.Tech/B.E.,23,1540.07
Python Backend,Mumbai,Male,B.Tech/B.E.,28,1110.582
Computer Vision,Mumbai,Male,B.Tech/B.E.,13,1822.336
cyber Security Practice,Pune,Male,B.Sc,24,1049.14
React Native,North Goa,Male,BCA,19,1139.278
Python Backend,Patna,Male,B.Com,23,1642.97
RPA Developer,Mumbai,Male,B.Tech/B.E.,28,865.271
cyber Security Practice,New Delhi,Male,B.Com,19,2348.922
Data Science,Pune,Female,BCA,20,1427.255
Data Science,New Delhi,Female,B.B.A/ B.M.S,19,2075.978
Data Science,Kolkata,Male,B.Tech/B.E.,15,777.614
Data Science,Pune,Male,BCA,22,1176.913
Data Science,New Delhi,Male,B.Tech/B.E.,14,1182.8
Data Science,Bengaluru,Male,B.Com,14,1289.009
Data Science,Kolkata,Male,B.Com,7,2032.177
Data Science,Gwalior,Female,B.Tech/B.E.,7,955.84
Data Science,Noida,Male,B.Tech/B.E.,7,1121.683
Data Science,New Delhi,Female,B.Tech/B.E.,6,1009.669
Data Science,Bhiwandi,Female,B.Tech/B.E.,9,600.088
React Native,New Delhi,Female,B.Tech/B.E.,9,968.438
Computer Vision,New Delhi,Male,B.Sc,19,664.527
UI with React,Gwalior,Male,B.Tech/B.E.,11,1874.713
Computer Vision,Renukoot,Male,B.A,22,2123.325
React Native,Bengaluru,Male,B.Com,9,1648.723
UI with React,Bengaluru,Female,B.Sc,13,899.664
UI with React,Noida,Male,B.Sc,9,2111.462
UI with React,Bengaluru,Male,B.Com,26,1911.83
React Native,Noida,Male,B.A,22,1928.324
Computer Vision,Pune,Male,B.Sc,19,1797.229
Computer Vision,Pune,Female,B.Sc,9,1494.757
UI with React,Noida,Female,B.Com,7,1833.987
React Native,Bengaluru,Female,B.Tech/B.E.,13,1920.431
UI with React,New Delhi,Male,B.A,21,1948.5
Python Backend,Mumbai,Male,B.Sc,20,830.895
Meanstack,Pune,Male,B.Tech/B.E.,16,1058.979
Computer Vision,New Delhi,Female,B.Tech/B.E.,27,1628.97
Meanstack,Mumbai,Female,B.Tech/B.E.,15,1104.399
MS Dynamics 365,Meerut,Male,B.Sc,7,700.515
Computer Vision,New Delhi,Male,BCA,16,1165.999
MS Dynamics 365,Gudivada,Male,B.Tech/B.E.,20,1875.642
Python Fullstack,New Delhi,Male,B.Tech/B.E.,15,1819.934
Computer Vision,Siliguri,Male,B.A,26,1638.35
Meanstack,nioda - Uttar Pradesh,Male,B.Tech/B.E.,7,670.607
Meanstack,Noida,Male,B.Tech/B.E.,6,505.956
Python Fullstack,Mumbai,Male,B.Tech/B.E.,25,1558.247
MS Dynamics 365,New Delhi,Female,B.Tech/B.E.,11,949.088
Computer vision,Hyderabad,Male,B.Com,9,1877.454
Computer vision,Pune,Male,B.Tech/B.E.,6,1939.844
I Manage Support,New Delhi,Female,B.Sc,19,2108.228
Computer vision,Noida,Male,B.Sc,8,2316.658
Meanstack,Noida,Male,B.Sc,20,1295.619
Meanstack,Gurugram,Female,BCA,22,1343.08
Meanstack,New Delhi,Female,B.Sc,5,1161.598
Meanstack,New Delhi,Male,B.A,28,553.227
Meanstack,Dehradun,Male,B.Tech/B.E.,25,652.644
Meanstack,Bengaluru,Male,B.Tech/B.E.,28,740.563
MS Dynamics 365,Noida,Male,B.Com,7,2090.017
Computer vision,New Delhi,Female,BCA,9,1224.053
Computer vision,Kolkata,Male,B.Tech/B.E.,17,1916.405
MS Dynamics 365,New Delhi,Male,BCA,24,1475.017
Computer vision,New Delhi,Female,B.A,17,1211.399
Python Fullstack,New Delhi,Male,B.Tech/B.E.,17,2050.656
Python Backend,Kolkata,Male,B.Tech/B.E.,9,1286.569
Computer vision,New Delhi,Female,B.B.A/ B.M.S,28,2409.664
Python Fullstack,New Delhi,Male,B.Com,17,2027.605
I Manage Support,Noida,Male,BCA,7,1515.927
C+ Linux,New Delhi,Female,B.Sc,15,1644.676
Computer vision,New Delhi,Male,B.Com,19,2184.3
Python Backend,New Delhi,Male,B.A,13,774.477
C+ Linux,Mumbai,Male,B.B.A/ B.M.S,14,930.901
Data Science,New Delhi,Male,B.Sc,18,1591.77
Data Science,Chennai,Male,B.Tech/B.E.,11,1929.143
C+ Linux,Hyderabad,Male,B.Sc,18,1259.406
Python Backend,Hyderabad,Male,B.Sc,13,1206.521
Python Fullstack,Hyderabad,Male,B.A,18,2421.467
Salesfoce Developer,New Delhi,Male,B.Tech/B.E.,19,2062.391
Salesfoce Developer,Pune,Male,B.Tech/B.E.,23,667.868
Triage Analyst,Bengaluru,Male,B.Sc,20,1912.762
UI Developer,New Delhi,Male,Diploma,7,2328.9
Golang Developer,New Delhi,Male,B.Tech/B.E.,7,858.493
IOS Developer,Kolkata,Female,B.Tech/B.E.,10,1704.134
Golang Developer,New Delhi,Male,BCA,24,1746.557
Golang Developer,Meerut,Female,B.Tech/B.E.,21,1418.015
Integration Engineer,New Delhi,Female,B.Tech/B.E.,8,2341.46
Salesforce Developer,Kolkata,Male,BCA,17,2017.206
C and Linux,Pune,Male,B.A,13,1944.278
Salesforce,Noida,Male,B.Com,9,1748.548
Catia BIW,New Delhi,Male,B.Tech/B.E.,27,2090.433
Catia BIW,Bhubaneswar,Female,BCA,23,757.825
Catia BIW,New Delhi,Female,BCA,17,2173.878
IOS Developer,New Delhi,Male,B.Tech/B.E.,14,547.318
Mainframe Nasco,New Delhi,Female,Diploma,14,2436.613
IISC,Noida,Female,B.Com,18,1569.48
"HR Data BA, data Modelling",Hyderabad,Female,Diploma,21,1971.497
Basic Math,Chennai,Male,BCA,7,567.136
salesforce,Rudrpur - Uttarakhand,Male,B.Tech/B.E.,19,525.929
UI Angular,Kolkata,Male,BCA,27,1276.137
Data Engineer,Hyderabad,Male,B.Sc,20,1309.608
Golang Developer,Bengaluru,Male,B.Tech/B.E.,15,2238.43
SAS,Bengaluru,Female,B.Sc,8,1131.54
Golang Developer,Hyderabad,Female,B.Com,17,2102.047
Maths Teacher,Bengaluru,Female,B.Tech/B.E.,19,1846.531
IOS,Noida,Female,B.Tech/B.E.,25,2167.876
Salesforce Developer,Noida,Male,B.A,13,2485.375
Data Engineer GCP,Hyderabad,Female,B.Sc,13,1011.435
Data Engineer GCP,Mumbai,Female,BCA,8,2490.043
Ab Initio Developer,New Delhi,Female,B.Com,27,2341.694
Maths Teacher,Mumbai,Male,B.Tech/B.E.,28,1640.174
Verilog,Gurugram,Female,B.Com,23,935.368
"Distributed sup eng, Infrastructure Lead",Mumbai,Male,BCA,27,891.343
Data Engineer,New Delhi,Female,B.Tech/B.E.,10,598.933
C++,Hyderabad,Male,B.A,10,978.475
Mainframe Support,New Delhi,Female,B.A,15,790.432
Oracle PLSQL,Gurugram,Male,B.A,24,979.646
"Distributed sup eng, Infrastructure Lead",Kanpur,Male,B.Tech/B.E.,26,2023.491
Maths Teacher,Noida,Male,BCA,7,1201.643
Salesfoce Developer,New Delhi,Male,B.Sc,5,2033.676
Salesforce Developer,Dehradun,Male,B.Tech/B.E.,6,568.656
Big Query,New Delhi,Female,BCA,7,511.632
Data Engineer GCP,New Delhi,Male,B.Com,23,1546.381
C++,Pune,Female,B.Com,22,966.325
Ab Initio Developer,Noida,Female,B.Tech/B.E.,22,1154.951
Python fullstack,Bengaluru,Male,B.Tech/B.E.,20,601.275
AWS,New Delhi,Male,B.Com,13,1453.437
Ab Initio Developer,Pune,Female,B.B.A/ B.M.S,9,665.306
Senior Identity Engineer,Hyderabad,Male,BCA,16,788.742
Maths Teacher,Pune,Male,B.Tech/B.E.,6,1129.097
C++,New Delhi,Female,BCA,8,2116.071
"Distributed sup eng, Infrastructure Lead",New Delhi,Female,B.B.A/ B.M.S,13,2342.75
